name,department,reason
"Spykar Men's Super Skinny Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Styled Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Lee Men's Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Amazon Brand - Inkast Denim Co. Men Stretchable Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 511 Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Peter England Men's Skinny Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Lee Men's Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Elegant and Stylish Ripped Skinny Ankle Length Black Jeans for Men (Tapered Bottom with Damage & Distressed Knee)","fashion","Duplicate ASIN"
"Amazon Brand - Symbol Men Jeans","fashion","Duplicate product title fingerprint"
"Pepe Jeans Men Jeans","fashion","Duplicate product title fingerprint"
"L,Zard Men's Slim Jeans","fashion","Missing both actual and discount prices"
"Lee Men Pants","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Spykar Men's Regular fit Jeans","fashion","Duplicate product title fingerprint"
"Wrangler Men's Skinny Fit Jeans","fashion","Duplicate product title fingerprint"
"Ben Martin Men's Regular Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Spykar Men's Slim Jeans","fashion","Duplicate product title fingerprint"
"Spykar Men Jeans","fashion","Duplicate product title fingerprint"
"Diverse Men Jeans","fashion","Duplicate product title fingerprint"
"Peter England Men Jeans","fashion","Duplicate product title fingerprint"
"PARIS HAMILTON Men Bootcut Fit Stretchable Bellbottom Denim Jeans","fashion","Duplicate product title fingerprint"
"Red Tape Men Jeans","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men Jeans","fashion","Duplicate product title fingerprint"
"Lee Men's Regular Fit Jeans","fashion","Duplicate product title fingerprint"
"Amazon Brand - Inkast Denim Co. Men Stretchable Jeans","fashion","Duplicate product title fingerprint"
"Urbano Fashion Men's Black Slim Fit Washed Jogger Jeans Stretchable","fashion","Duplicate product title fingerprint"
"Peter England Men Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men Jeans","fashion","Duplicate product title fingerprint"
"ultimatefashionista Combo Sales Designer 7 Inch Height Full Transparent Big Shirt/T-Shirt & Pant/Jeans/Trousers Cover - Se...","fashion","Duplicate ASIN"
"Levi's Men Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"PARIS HAMILTON Men Bootcut Fit Stretchable Bellbottom Denim Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men Jeans","fashion","Duplicate product title fingerprint"
"Spykar Men's Regular fit Jeans","fashion","Duplicate product title fingerprint"
"Peter England Men Jeans","fashion","Duplicate product title fingerprint"
"Wrangler Men's Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men's 512 Slim Tapered Fit Jeans","fashion","Duplicate product title fingerprint"
"Wrangler Men's Slim Fit Jeans","fashion","Duplicate product title fingerprint"
"Pepe Jeans Men Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men Jeans","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men Stretchable Jeans","fashion","Duplicate product title fingerprint"
"Peter England Men Jeans","fashion","Duplicate product title fingerprint"
"STUDIO NEXX Men's Regular Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men Jeans","fashion","Duplicate product title fingerprint"
"Lee Men's Regular Fit Jeans","fashion","Duplicate product title fingerprint"
"Spykar Men's Skinny Fit Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men Jeans","fashion","Duplicate product title fingerprint"
"U.S. POLO ASSN. Men Men's Jeans","fashion","Duplicate product title fingerprint"
"Levi's Men Jeans","fashion","Duplicate product title fingerprint"
